game_identifier		Game Name
Baseball2003		Backyard Baseball 2003
Blues123Time		Blue's 123 Time Activities
BluesABCTime		Blue's ABC Time Activities
BluesBirthday		Blue's Birthday Adventure
BluesTreasureHunt	Blue's Treasure Hunt
FreddisFunShop		Freddi Fish's One-Stop Fun Shop
PuttsFunShop		Putt-Putt's One-Stop Fun Shop
SamsFunShop		Pajama Sam's One-Stop Fun Shop
Soccer2004		Backyard Soccer 2004
SoccerMLS		Backyard Soccer MLS Edition
activity		Putt-Putt & Fatty Bear's Activity Pack
agi			Sierra AGI game
airport			Let's Explore the Airport with Buzzy
arttime			Blue's Art Time Activities
atlantis		Indiana Jones and the Fate of Atlantis
balloon			Putt-Putt and Pep's Balloon-O-Rama
baseball		Backyard Baseball
baseball2001		Backyard Baseball 2001
basketball		Backyard Basketball
brstorm			Bear Stormin'
catalog			Humongous Interactive Catalog
chase			SPY Fox in Cheese Chase
cine			Cinematique evo.1 engine game
comi			The Curse of Monkey Island
cruise			Cinematique evo.2 engine game
dig			The Dig
dimp			Demon in my Pocket
drascula		Drascula: The Vampire Strikes Back
elvira1			Elvira - Mistress of the Dark
elvira2			Elvira II - The Jaws of Cerberus
farm			Let's Explore the Farm with Buzzy
fbear			Fatty Bear's Birthday Surprise
fbpack			Fatty Bear's Fun Pack
feeble			The Feeble Files
football		Backyard Football
football2002		Backyard Football 2002
freddi			Freddi Fish 1: The Case of the Missing Kelp Seeds
freddi2			Freddi Fish 2: The Case of the Haunted Schoolhouse
freddi3			Freddi Fish 3: The Case of the Stolen Conch Shell
freddi4			Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch
freddicove		Freddi Fish 5: The Case of the Creature of Coral Cave
ft			Full Throttle
funpack			Putt-Putt's Fun Pack
gob			Gob engine game
groovie			Groovie engine game
indy3			Indiana Jones and the Last Crusade
jumble			Jumble
jungle			Let's Explore the Jungle with Buzzy
kyra1			The Legend of Kyrandia
kyra2			The Legend of Kyrandia: The Hand of Fate
kyra3			The Legend of Kyrandia: Malcolm's Revenge
loom			Loom
lost			Pajama Sam's Lost & Found
lure			Lure of the Temptress
made			MADE engine game
maniac			Maniac Mansion
maze			Freddi Fish and Luther's Maze Madness
monkey			The Secret of Monkey Island
monkey2			Monkey Island 2: LeChuck's Revenge
moonbase		Moonbase Commander
mustard			SPY Fox in Hold the Mustard
pajama			Pajama Sam 1: No Need to Hide When It's Dark Outside
pajama2			Pajama Sam 2: Thunder and Lightning Aren't so Frightening
pajama3			Pajama Sam 3: You Are What You Eat From Your Head to Your Feet
parallaction		Parallaction engine game
pass			Passport to Adventure
pjgames			Pajama Sam: Games to Play On Any Day
puttcircus		Putt-Putt Joins the Circus
puttmoon		Putt-Putt Goes to the Moon
puttputt		Putt-Putt Joins the Parade
puttrace		Putt-Putt Enters the Race
putttime		Putt-Putt Travels Through Time
puttzoo			Putt-Putt Saves the Zoo
puzzle			NoPatience
queen			Flight of the Amazon Queen
readtime		Blue's Reading Time Activities
saga			SAGA Engine game
samnmax			Sam & Max Hit the Road
simon1			Simon the Sorcerer 1
simon2			Simon the Sorcerer 2
sky			Beneath a Steel Sky
soccer			Backyard Soccer
socks			Pajama Sam's Sock Works
spyfox			SPY Fox 1: Dry Cereal
spyfox2			SPY Fox 2: Some Assembly Required
spyozon			SPY Fox 3: Operation Ozone
swampy			Swampy Adventures
sword1			Broken Sword 1: The Shadow of the Templars
sword1demo		Broken Sword 1: The Shadow of the Templars (Demo)
sword1mac		Broken Sword 1: The Shadow of the Templars (Mac)
sword1macdemo		Broken Sword 1: The Shadow of the Templars (Mac demo)
sword1psx		Broken Sword 1: The Shadow of the Templars (PlayStation)
sword1psxdemo		Broken Sword 1: The Shadow of the Templars (PlayStation demo)
sword2			Broken Sword 2: The Smoking Mirror
sword2alt		Broken Sword 2: The Smoking Mirror (alt)
sword2demo		Broken Sword 2: The Smoking Mirror (Demo)
sword2psx		Broken Sword 2: The Smoking Mirror (PlayStation)
sword2psxdemo		Broken Sword 2: The Smoking Mirror (PlayStation/Demo)
tentacle		Day of the Tentacle
thinker1		Big Thinkers First Grade
thinkerk		Big Thinkers Kindergarten
tinsel			Tinsel engine game
touche			Touche: The Adventures of the Fifth Musketeer
tucker			Bud Tucker in Double Trouble
water			Freddi Fish and Luther's Water Worries
waxworks		Waxworks
zak			Zak McKracken and the Alien Mindbenders
